"","SYMBOL","ENSEMBL","gene"
"A1BG","A1BG","ENSG00000121410","A1BG"
"A1BG-AS1","A1BG-AS1","ENSG00000268895","A1BG-AS1"
"A1CF","A1CF","ENSG00000148584","A1CF"
"A2M","A2M","ENSG00000175899","A2M"
"A2M-AS1","A2M-AS1","ENSG00000245105","A2M-AS1"
"A2ML1","A2ML1","ENSG00000166535","A2ML1"
"A3GALT2","A3GALT2","ENSG00000184389","A3GALT2"
"A4GALT","A4GALT","ENSG00000128274","A4GALT"
"A4GNT","A4GNT","ENSG00000118017","A4GNT"
"AAAS","AAAS","ENSG00000094914","AAAS"
"AACS","AACS","ENSG00000081760","AACS"
"AADAC","AADAC","ENSG00000114771","AADAC"
"AADACL2","AADACL2","ENSG00000197953","AADACL2"
"AADACL3","AADACL3","ENSG00000188984","AADACL3"
"AADACL4","AADACL4","ENSG00000204518","AADACL4"
"AADAT","AADAT","ENSG00000109576","AADAT"
"AAGAB","AAGAB","ENSG00000103591","AAGAB"
"AAK1","AAK1","ENSG00000115977","AAK1"
"AAMDC","AAMDC","ENSG00000087884","AAMDC"
"AAMP","AAMP","ENSG00000127837","AAMP"
"AANAT","AANAT","ENSG00000129673","AANAT"
"AAR2","AAR2","ENSG00000131043","AAR2"
"AARD","AARD","ENSG00000205002","AARD"
"AARS2","AARS2","ENSG00000124608","AARS2"
"AARSD1","AARSD1","ENSG00000266967","AARSD1"
"AASDH","AASDH","ENSG00000157426","AASDH"
"AASDHPPT","AASDHPPT","ENSG00000149313","AASDHPPT"
"AASS","AASS","ENSG00000008311","AASS"
"AATBC","AATBC","ENSG00000215458","AATBC"
"AATF","AATF","ENSG00000275700","AATF"
"AATK","AATK","ENSG00000181409","AATK"
"ABALON","ABALON","ENSG00000281376","ABALON"
"ABAT","ABAT","ENSG00000183044","ABAT"
"ABCA1","ABCA1","ENSG00000165029","ABCA1"
"ABCA10","ABCA10","ENSG00000154263","ABCA10"
"ABCA12","ABCA12","ENSG00000144452","ABCA12"
"ABCA13","ABCA13","ENSG00000179869","ABCA13"
"ABCA2","ABCA2","ENSG00000107331","ABCA2"
"ABCA3","ABCA3","ENSG00000167972","ABCA3"
"ABCA4","ABCA4","ENSG00000198691","ABCA4"
"ABCA5","ABCA5","ENSG00000154265","ABCA5"
"ABCA6","ABCA6","ENSG00000154262","ABCA6"
"ABCA7","ABCA7","ENSG00000064687","ABCA7"
"ABCA8","ABCA8","ENSG00000141338","ABCA8"
"ABCA9","ABCA9","ENSG00000154258","ABCA9"
"ABCA9-AS1","ABCA9-AS1","ENSG00000231749","ABCA9-AS1"
"ABCB1","ABCB1","ENSG00000085563","ABCB1"
"ABCB10","ABCB10","ENSG00000135776","ABCB10"
"ABCB11","ABCB11","ENSG00000073734","ABCB11"
"ABCB4","ABCB4","ENSG00000005471","ABCB4"
"ABCB5","ABCB5","ENSG00000004846","ABCB5"
"ABCB6","ABCB6","ENSG00000115657","ABCB6"
"ABCB7","ABCB7","ENSG00000131269","ABCB7"
"ABCB8","ABCB8","ENSG00000197150","ABCB8"
"ABCB9","ABCB9","ENSG00000150967","ABCB9"
"ABCC1","ABCC1","ENSG00000103222","ABCC1"
"ABCC10","ABCC10","ENSG00000124574","ABCC10"
"ABCC11","ABCC11","ENSG00000121270","ABCC11"
"ABCC12","ABCC12","ENSG00000140798","ABCC12"
"ABCC2","ABCC2","ENSG00000023839","ABCC2"
"ABCC3","ABCC3","ENSG00000108846","ABCC3"
"ABCC4","ABCC4","ENSG00000125257","ABCC4"
"ABCC5","ABCC5","ENSG00000114770","ABCC5"
