celltype,markers
B,ABCB4
B,ADAM28
B,BACH2
B,BANK1
B,BCL7A
B,BEND5
B,BLK
B,BRAF
B,CD180
B,CD19
B,CD1C
B,CD22
B,CD37
B,CD69
B,CD72
B,CD79A
B,CD79B
B,CR2
B,CXCR5
B,EAF2
B,FAIM3
B,FCER2
B,FCGR2B
B,FCRL2
B,FRK
B,GPR18
B,GUSBP11
B,HHEX
B,HLA-DOB
B,IGHD
B,IGHM
B,IGKC
B,IGLL3P
B,IL4R
B,IRF8
B,KIAA0226L
B,LINC00921
B,LTB
B,LY86
B,MEP1A
B,MICAL3
B,MS4A1
B,NIPSNAP3B
B,NMBR
B,P2RX5
B,P2RY14
B,PNOC
B,PSG2
B,PTPRCAP
B,RALGPS2
B,RASGRP2
B,SELL
B,SIK1
B,SLC12A1
B,SPIB
B,STAP1
B,TCL1A
B,UGT1A8
B,VPREB3
B,ZNF286A
B,AIM2
B,ALOX5
B,CCR6
B,CD27
B,CLCA3P
B,DENND5B
B,FAM65B
B,GNG7
B,IFNA10
B,IL7
B,MBL2
B,NPIPB15
B,SIT1
B,SP140
B,TMEM156
B,TNFRSF13B
B,TNFRSF17
B,TRAF4
B,ZBTB32
CD4Tconv,ACAP1
CD4Tconv,ANKRD55
CD4Tconv,ATHL1
CD4Tconv,BCL11B
CD4Tconv,CCR7
CD4Tconv,CD2
CD4Tconv,CD247
CD4Tconv,CD27
CD4Tconv,CD3D
CD4Tconv,CD3G
CD4Tconv,CD40LG
CD4Tconv,CD7
CD4Tconv,CXorf57
CD4Tconv,DPP4
CD4Tconv,DSC1
CD4Tconv,EPHA1
CD4Tconv,FAIM3
CD4Tconv,FLJ13197
CD4Tconv,FLT3LG
CD4Tconv,GAL3ST4
CD4Tconv,GALR1
CD4Tconv,GPR1
CD4Tconv,GRAP2
CD4Tconv,GZMM
CD4Tconv,ICOS
CD4Tconv,IL7R
CD4Tconv,ITK
CD4Tconv,LAT
CD4Tconv,LCK
CD4Tconv,LEF1
CD4Tconv,LIME1
CD4Tconv,LTB
CD4Tconv,LY9
CD4Tconv,MAP4K1
CD4Tconv,MAP4K2
CD4Tconv,MAP9
CD4Tconv,RASGRP2
CD4Tconv,RPL3P7
CD4Tconv,SERGEF
CD4Tconv,SH2D1A
CD4Tconv,SIRPG
CD4Tconv,TCF7
CD4Tconv,TRAC
CD4Tconv,TRAT1
CD4Tconv,TRAV13-1
CD4Tconv,TRBC1
CD4Tconv,UBASH3A
CD4Tconv,VILL
CD4Tconv,WNT7A
CD4Tconv,ZAP70
CD4Tconv,ZNF204P
CD4Tconv,ZNF324
CD4Tconv,CCL5
CD4Tconv,CCR6
CD4Tconv,CD28
CD4Tconv,CD3E
CD4Tconv,CD4
CD4Tconv,CD6
CD4Tconv,CD69
CD4Tconv,CD96
CD4Tconv,CTLA4
CD4Tconv,CTSW
CD4Tconv,DGKA
CD4Tconv,EPB41
CD4Tconv,ETS1
CD4Tconv,FBXL8
CD4Tconv,GPR171
CD4Tconv,GPR25
CD4Tconv,GZMA
CD4Tconv,GZMK
CD4Tconv,KLRB1
CD4Tconv,NKG7
CD4Tconv,PBXIP1
CD4Tconv,PTGER2
CD4Tconv,PTPRCAP
CD4Tconv,RASA3
CD4Tconv,RCAN3
CD4Tconv,RPL10L
CD4Tconv,ST8SIA1
CD4Tconv,TRAV13-2
CD4Tconv,TRAV21
CD4Tconv,TRAV8-6
CD4Tconv,TRAV9-2
CD4Tconv,ZFP36L2
CD4Tconv,CCL20
CD4Tconv,CDC25A
CD4Tconv,CSF2
CD4Tconv,CXCL13
CD4Tconv,GPR19
CD4Tconv,GZMB
CD4Tconv,IFNG
CD4Tconv,IL12RB2
CD4Tconv,IL17A
CD4Tconv,IL26
CD4Tconv,IL2RA
CD4Tconv,IL3
CD4Tconv,IL4
CD4Tconv,IL9
CD4Tconv,LAG3
CD4Tconv,LTA
CD4Tconv,ORC1
CD4Tconv,PMCH
CD4Tconv,RRP9
CD4Tconv,SKA1
CD4Tconv,TNFRSF4
CD4Tconv,TNIP3
CD4Tconv,CHI3L2
CD4Tconv,CXCR5
CD4Tconv,FOSB
CD4Tconv,FZD3
CD4Tconv,ICA1
CD4Tconv,IL21
CD4Tconv,PASK
CD4Tconv,PDCD1
CD4Tconv,PVRIG
CD4Tconv,RGS1
CD4Tconv,SIK1
CD4Tconv,SLC7A10
CD4Tconv,TRIB2
CD4Tconv,TSHR
CD4Tconv,ZBTB10
CD8T,BCL11B
CD8T,CCL5
CD8T,CD2
CD8T,CD247
CD8T,CD27
CD8T,CD3D
CD8T,CD3E
CD8T,CD3G
CD8T,CD6
CD8T,CD69
CD8T,CD7
CD8T,CD8A
CD8T,CD8B
CD8T,CD96
CD8T,CRTAM
CD8T,CST7
CD8T,CTSW
CD8T,DPP4
CD8T,DSC1
CD8T,DUSP2
CD8T,FAIM3
CD8T,FLT3LG
CD8T,GNLY
CD8T,GPR171
CD8T,GRAP2
CD8T,GZMA
CD8T,GZMB
CD8T,GZMH
CD8T,GZMK
CD8T,GZMM
CD8T,ICOS
CD8T,IGKC
CD8T,IL7R
CD8T,ITK
CD8T,KLRB1
CD8T,KLRC3
CD8T,KLRC4
CD8T,KLRD1
CD8T,KLRF1
